Responsible for information;№ p/p;Agreement, №;Structural unit 1;Structural unit 2;Name;Leader;Customer;Customer sector;Average cost of the entire contract;Grant;Co-contractor / subcontractor;Financing;Type of work;Service type;type of service;Direction XX.00.00;Direction XX.XX.00;Direction XX.XX.XX;TRL level;Patents (Numbers)
Аксенова Н.В.;;А-02-18;НГУ ФФ;—;Физическое проектирование, обоснование и экспериментальное исследование энергетических и динамических характеристик сверхзвуковой водной микроструи;Кочеев Андрей Андреевич;ИП Савин Павел Алексеевич;Производство ?;200 000,00;Не грант;;Внебюджетное;НИР;Проведение исследований;Подходы и методы;30: МЕХАНИКА;30.17: МЕХАНИКА ЖИДКОСТИ И ГАЗА;30.17.33: ГАЗОВАЯ ДИНАМИКА;4;
Аксенова Н.В.;;Заказ №НТЦ-19/07000/02161/Р-ГПН к договору №НТЦ-19/07000/00794/р-ГПН;НГУ ПрНИД;НОЦГПННГУ;"Формирование матрицы применимости технологий МУН в зависимости от основных свойств объекта разработки, ранжирование применимости технологий МУН на основе результатов расчетов прокси (мета) модели в рамках направления ""Построение прокси (мета) модели для оценки эффективности технологий МУН";Тайманов Искандер Асанович;Газпромнефть НТЦ ООО;Нефть/Газ;5 008 440,39;Не грант;;Внебюджетное;НИР;Разработка и тестирование модели/прототипа под гипотезу;Подходы и методы;30: МЕХАНИКА;30.51: КОМПЛЕКСНЫЕ И СПЕЦИАЛЬНЫЕ РАЗДЕЛЫ МЕХАНИКИ;30.51.31: ДВИЖЕНИЕ ЖИДКОСТЕЙ И ГАЗОВ В ПОРИСТЫХ СРЕДАХ;;
Аксенова Н.В.;;РФФИ-60046/15;НГУ ФЕН;ЛЭКП;Формирование наноразмерных магнитных частиц в структуре многослойных углеродных нанотрубок и исследование их свойств;Казакова Мария Александровна;Российский Фонд Фундаментальных Исследований;Финансовая и организационная поддержка фундаментальных научных исследований;5 100 000,00;Грант;;Бюджетное;НИР;Поиск существующих технологий под решение вызова;Подходы и методы;"29: ФИЗИКА; 
31: ХИМИЯ; 
47: ЭЛЕКТРОНИКА. РАДИОТЕХНИКА";"29.19: ФИЗИКА ТВЕРДЫХ ТЕЛ; 
31.15: ФИЗИЧЕСКАЯ ХИМИЯ; 
47.09: МАТЕРИАЛЫ ДЛЯ ЭЛЕКТРОНИКИ И РАДИОТЕХНИКИ";"29.19.22: ФИЗИКА НАНОСТРУКТУР. НИЗКОРАЗМЕР-НЫЕ СТРУКТУРЫ. МЕЗОСКОПИЧЕСКИЕ СТРУКТУРЫ; 
31.15.37: ХИМИЯ КОЛЛОИДОВ. ДИСПЕРСНЫЕ СИСТЕМЫ; 
47.09.37: МЕТАЛЛЫ, МЕТАЛЛИЧЕСКИЕ СПЛАВЫ ДЛЯ РАДИОЭЛЕКТРОНИКИ";5;
Аксенова Н.В.;;РНФ 17-73-10342;НГУ ФЕН;—;Фото- и терморазложение металлокомплексов как способ формирования наночастиц металлов и биметаллических структур на поверхности фотокаталитически активных материалов;Селищев Дмитрий Сергеевич;Российский научный фонд;Финансовая и организационная поддержка фундаментальных научных исследований;2 800 000,00;Грант;;Бюджетное;НИР;Проведение исследований;Подходы и методы;31: ХИМИЯ;31.15: ФИЗИЧЕСКАЯ ХИМИЯ;31.15.37: ХИМИЯ КОЛЛОИДОВ. ДИСПЕРСНЫЕ СИСТЕМЫ;4;
Аксенова Н.В.;;РФФИ-51262/15;НГУ ФФ;ЛНТ;Численное исследование взаимодействия ударных волн в термически неравновесных течениях;Поплавская Татьяна Владимировна ;Российский Фонд Фундаментальных Исследований;Финансовая и организационная поддержка фундаментальных научных исследований;140 000,00;Грант;;Бюджетное;НИР;Проведение исследований;Подходы и методы;;;;1;
Медных Д.А.;;№ 416-10 от 14.06.2016;ИНГГ СО РАН;Лаб.многоволновых сейсмических исследований;Численное моделирование полных волновых сейсмических полей, включая их рассеянную составляющую, порожденную взаимодействием с микроструктурой пласта, при различных конфигурациях толщин и пористости зон интенсивного выщелачивания в трещинном массивном резервуаре;Лисица Вадим Викторович;КРАСНОЯРСКНИПИНЕФТЬ ООО РН-;Нефть/Газ;4 200 000,00;Не грант;;Внебюджетное;НИР;Моделирование;Подходы и методы;;;;;
Аксенова Н.В.;;РФФИ(И)-00825/17;НГУ ГГФ;ЛабПГГ;Эволюция мантийного магматизма в истории развития Алтайской коллизионной системы герцинид и роль мантии в формировании гранитоидных батолитов и металлогенической специфики складчатых поясов;Хромых Сергей Владимирович;Российский Фонд Фундаментальных Исследований;Финансовая и организационная поддержка фундаментальных научных исследований;2 453 000,00;Грант;;Бюджетное;НИР;Проведение исследований;Подходы и методы;38: ГЕОЛОГИЯ;"38.37: ПЕТРОГРАФИЯ; 
38.33: ГЕОХИМИЯ";"38.37.19: МАГМАТИЗМ И МАГМАТИЧЕСКИЕ ГОРНЫЕ ПОРОДЫ; 
38.33.17: ГЕОХИМИЯ ПРИРОДНЫХ ПРОЦЕССОВ; 
38.33.21: ГЕОХИМИЯ ИЗОТОПОВ";3;
Аксенова Н.В.;;РФФИ(И)-20815/15;НГУ ГГФ;УНЛПГГИ;Эволюция механизмов мантийно-корового взаимодействия в истории развития позднепалеозойского магматизма Центральной Азии (на примере Алтайской коллизионной системы герцинид);Хромых Сергей Владимирович;Российский Фонд Фундаментальных Исследований;Финансовая и организационная поддержка фундаментальных научных исследований;4 000 000,00;Грант;;Бюджетное;НИР;Проведение исследований;Подходы и методы;38: ГЕОЛОГИЯ;"38.37: ПЕТРОГРАФИЯ; 
38.33: ГЕОХИМИЯ";"38.37.19: МАГМАТИЗМ И МАГМАТИЧЕСКИЕ ГОРНЫЕ ПОРОДЫ; 
38.33.17: ГЕОХИМИЯ ПРИРОДНЫХ ПРОЦЕССОВ";2;
Аксенова Н.В.;;19-37-60014\19;НГУ ФЕН;ЛЭКП;Эвристические методы для оптимизации и исследования промышленно важных гетерогенных каталитических процессов;Еникеева Лениза Васимовна;Российский Фонд Фундаментальных Исследований;Финансовая и организационная поддержка фундаментальных научных исследований;8 971 400,00;Грант;;Бюджетное;НИР;Проведение исследований;Подходы и методы;"27: МАТЕМАТИКА; 
28: КИБЕРНЕТИКА; 
31: ХИМИЯ; 
50: АВТОМАТИКА. ВЫЧИСЛИТЕЛЬНАЯ ТЕХНИКА";"27.41: ВЫЧИСЛИТЕЛЬНАЯ МАТЕМАТИКА; 28.17: ТЕОРИЯ МОДЕЛИРОВАНИЯ; 50.53: АВТОМАТИЗАЦИЯ НАУЧНЫХ ИССЛЕДОВАНИЙ";"27.41.41: АЛГОРИТМЫ РЕШЕНИЯ ЗАДАЧ ВЫЧИСЛИТЕЛЬНОЙ И ДИСКРЕТНОЙ МАТЕМАТИКИ; 27.41.77: РЕШЕНИЕ МАТЕМАТИЧЕСКИХ ЗАДАЧ ПРИ ПОМОЩИ МОДЕЛИРУЮЩИХ СИСТЕМ; 28.17.19: МАТЕМАТИЧЕСКОЕ МОДЕЛИРОВАНИЕ; 50.53.15: АВТОМАТИЗАЦИЯ ПРОЦЕССОВ ПРОВЕДЕНИЯ НАУЧНЫХ ЭКСПЕРИМЕНТОВ; 31.15.27";3;
Аксенова Н.В.;;19-37-60014\19;НГУ ФЕН;ЛЭКП;Эвристические методы для оптимизации и исследования промышленно важных гетерогенных каталитических процессов;Еникеева Лениза Васимовна;Российский Фонд Фундаментальных Исследований;Финансовая и организационная поддержка фундаментальных научных исследований;8 971 400,00;Грант;;Бюджетное;НИР;Проведение исследований;Подходы и методы;"27: МАТЕМАТИКА; 
28: КИБЕРНЕТИКА; 
50: АВТОМАТИКА. ВЫЧИСЛИТЕЛЬНАЯ ТЕХНИКА";"27.41: ВЫЧИСЛИТЕЛЬНАЯ МАТЕМАТИКА; 
28.17: ТЕОРИЯ МОДЕЛИРОВАНИЯ; 
50.53: АВТОМАТИЗАЦИЯ НАУЧНЫХ ИССЛЕДОВАНИЙ";"27.41.41: АЛГОРИТМЫ РЕШЕНИЯ ЗАДАЧ ВЫЧИСЛИТЕЛЬНОЙ И ДИСКРЕТНОЙ МАТЕМАТИКИ; 
27.41.77: РЕШЕНИЕ МАТЕМАТИЧЕСКИХ ЗАДАЧ ПРИ ПОМОЩИ МОДЕЛИРУЮЩИХ СИСТЕМ; 
28.17.19: МАТЕМАТИЧЕСКОЕ МОДЕЛИРОВАНИЕ; 
50.53.15: АВТОМАТИЗАЦИЯ ПРОЦЕССОВ ПРОВЕДЕНИЯ НАУЧНЫХ ЭКСПЕРИМЕНТОВ; 
";3;
Аксенова Н.В.;;СОГЛАШЕНИЕ № 18-19-00124;НГУ ФФ;ЛФТОЭ;Экспериментальное и теоретическое исследование фазовых равновесий и превращений в гидратообразующих системах;Белослудов Владимир Романович;Российский научный фонд;Финансовая и организационная поддержка фундаментальных научных исследований;18 000 000,00;Грант;;Бюджетное;НИР;Проведение исследований;Подходы и методы;"29: ФИЗИКА; 
31: ХИМИЯ";"31.15: ФИЗИЧЕСКАЯ ХИМИЯ; 
29.17: ФИЗИКА ГАЗОВ И ЖИДКОСТЕЙ. ТЕРМО-ДИНАМИКА И СТАТИСТИЧЕСКАЯ ФИЗИКА";"31.15.25: ХИМИЧЕСКАЯ ТЕРМОДИНАМИКА. ТЕРМОХИМИЯ. РАВНОВЕСИЯ. ФИЗИКО-ХИМИЧЕСКИЙ АНАЛИЗ, ФАЗОВЫЕ ПЕРЕХОДЫ; 
29.17.41: СТАТИСТИЧЕСКАЯ ТЕРМОДИНАМИКА";5;
Аксенова Н.В.;;19-38-90175/19;НГУ ФФ;УНЛОДЭП;Экспериментальное исследование влияния вязкости дисперсной и несущей фаз на режимы течения и структуру потока несмешивающихся жидкостей в микроканалах;Бильский Артур Валерьевич;Российский Фонд Фундаментальных Исследований;Финансовая и организационная поддержка фундаментальных научных исследований;1 200 000,00;Грант;;Бюджетное;НИР;Проведение исследований;Подходы и методы;30: МЕХАНИКА;30.17: МЕХАНИКА ЖИДКОСТИ И ГАЗА;30.17.51: ПРИКЛАДНАЯ ГИДРОДИНАМИКА И ГИДРАВЛИКА;3;
Аксенова Н.В.;;19-38-90255/19;НГУ ФФ;УНЛОДЭП;Экспериментальное исследование локальных характеристик газожидкостного течения в прямоугольных щелевых микроканалах с различным соотношением сторон при использовании метода лазерно-индуцированной флюоресценции;Кузнецов Владимир Васильевич;Российский Фонд Фундаментальных Исследований;Финансовая и организационная поддержка фундаментальных научных исследований;1 200 000,00;Грант;;Бюджетное;НИР;Проведение исследований;Подходы и методы;"29: ФИЗИКА; 
30: МЕХАНИКА; 
44: ЭНЕРГЕТИКА";"29.17: ФИЗИКА ГАЗОВ И ЖИДКОСТЕЙ. ТЕРМО-ДИНАМИКА И СТАТИСТИЧЕСКАЯ ФИЗИКА; 
30.17: МЕХАНИКА ЖИДКОСТИ И ГАЗА; 
44.31: ТЕПЛОЭНЕРГЕТИКА. ТЕПЛОТЕХНИКА";"29.17.35: МЕТОДИКА И ТЕХНИКА ЭКСПЕРИМЕНТАЛЬ-НЫХ ИССЛЕДОВАНИЙ ГАЗОВ И ЖИДКОСТЕЙ; 
30.17.51: ПРИКЛАДНАЯ ГИДРОДИНАМИКА И ГИДРАВЛИКА; 
44.31.03: ТЕОРЕТИЧЕСКИЕ ОСНОВЫ ТЕПЛОТЕХНИКИ";3;
